question,answer,tech_accuracy,confidence
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",66,51
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",92,75
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",84,100
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,85,84
Explain the concept of REST APIs.,It's an API that lets you download data. ,28,19
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",43,40
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",80,88
Explain the concept of REST APIs.,It's an API that lets you download data. ,23,58
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",84,88
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,30,56
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",74,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",89,91
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",47,47
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",54,31
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",52,62
Explain how a hash map works.,It's just an array that stores things inside it. ,24,42
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,25,57
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",93,96
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,33,30
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",41,70
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,13,32
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",65,66
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,35,36
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,74,76
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",88,78
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",61,47
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,36
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",58,71
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,17,39
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",64,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",43,68
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",67,71
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",94,90
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,93,88
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",61,60
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,25,40
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",56,59
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",90,86
